2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
210156,2460,3
210157,16250,6
210159,64220,5
210161,1930,2
210162,67375,6
210163,3930,2
210164,18700,4
210165,2740,2
210166,8300,2
210167,11350,2
210171,19000,6
210172,10600,2
210174,23080,5
210175,31700,2
210176,5850,2
210177,28900,2
210178,27600,2
210179,49300,6
210180,2200,1
210181,3700,2
210182,3500,2
210183,2300,4
210186,41701,3
210187,30200,2
210188,104000,3
210189,1000,2
210191,34700,3
210192,8400,2
210193,11200,6
210194,27280,3
210195,58500,3
210196,63100,4
210197,32000,2
210198,23860,2
210200,7200,2
210203,14000,3
210204,30100,3
210205,20400,1
210206,42000,2
210208,99400,2
210209,35400,2
210210,15480,3
210213,30000,4
210216,16549,3
210221,16840,3
210222,27000,3
210223,28600,3
210227,14400,2
210232,16800,1
210235,6000,4
210236,63600,2
210239,40680,5
210241,73600,2
210244,155200,2
210248,16800,1
210250,105584,4
210254,99680,5
210256,46440,2
210257,95120,3
210261,40800,4
210263,25000,3
210264,28800,1
210265,48000,2
210268,16800,2
210269,15600,1
210270,106520,5
210271,61200,3
210272,40000,3
210273,46600,2
210274,18792,3
210275,39400,3
210276,16800,3
210279,35000,2
210285,125800,4
210288,15600,3
210289,87600,5
210295,49600,2
210297,18600,3
210298,41100,3
210300,64400,2
210310,59016,3
210312,151000,3
210313,90000,2
210314,18000,2
210315,24600,1
210317,76800,2
210318,45000,2
210319,75744,2
210321,128280,3
210323,19200,1
210325,76400,3
210326,294400,2
210328,36000,1
210331,119760,4
210332,66000,4
210333,22800,2
210335,5000,1
210336,52400,3
210337,55320,2
210339,48960,3
210341,35600,1
210342,72640,5
210343,346800,4
210345,84680,5
210348,21240,1
210353,21200,3
210359,40000,3
210365,31200,3
210366,69200,4
210367,37200,3
210368,39600,2
210379,52080,3
210381,9600,1
210383,2400,2
210386,127000,3
210388,48600,2
210389,27680,3
210390,415000,5
210391,900,3
210395,18000,3
210398,4000,2
210399,1600,2
210400,40200,2
210402,33600,2
210403,112002,2
210404,101208,3
210409,36240,3
210411,59000,5
210413,64000,3
210414,39670,2
210415,27780,2
210417,158920,3
210418,2470,2
210419,35560,2
210420,83820,3
210421,29520,3
210422,40200,5
210423,22070,2
210424,13546,2
210425,60320,3
210426,720,2
210427,47820,5
210428,28300,2
210429,155280,4
210430,40200,3
210431,25400,2
210432,35751,3
210433,34656,2
210435,43520,3
210436,33800,2
210437,3880,2
210438,29400,4
210439,5600,2
210440,58800,4
210442,12720,1
210444,12900,3
210445,1020,4
210451,4500,2
210452,1200,3
210453,500,3
210456,4080,2
210457,1535,1
210458,17750,2
210459,5600,2
210460,45447,3
210461,8080,2
210462,16470,3
210463,6182,1
210465,79954,3
210466,28300,2
210467,64135,3
210468,7580,3
210470,21084,3
210473,132028,3
210477,35000,2
210478,63600,3
210479,2000,3
210485,20200,2
210487,20500,3
210488,31335,3
210489,53600,2
210491,41850,2
210493,50200,2
210494,19632,1
210495,1000,1
210497,21000,3
210498,46800,3
210500,18600,2
210501,6000,1
210503,42300,5
210507,36000,3
210515,20400,1
210517,128000,1
210521,24000,3
210527,94240,3
210532,25200,2
210539,25000,1
210545,22400,4
210547,24744,4
210549,76120,3
210554,9000,4
210567,17988,1
210568,23400,2
210569,51200,3
210574,17560,3
210575,47400,2
210584,57600,2
210585,24000,1
210591,49920,2
210592,26400,1
210594,69400,4
210596,91400,5
210597,58000,3
210598,33060,3
210599,63800,3
210600,2000,2
210602,17400,3
210603,20300,2
210604,4500,2
210605,45000,3
210606,9000,2
210607,9800,4
210608,23700,3
210609,7500,2
210610,1850,2
210611,24500,3
210612,25000,2
210613,10100,3
210614,11200,2
210617,17400,2
210618,10450,2
210619,16600,2
210620,45800,4
210621,1500,2
210622,10900,2
210623,9000,2
210624,35000,4
210625,32000,3
210626,191601,3
210627,5660,2
210628,15280,2
210629,7000,4
210630,158440,4
210633,1500,4
210635,10441,2
210636,7800,2
210637,13000,3
210638,8000,4
210639,14800,4
210642,39200,3
210644,17000,2
210645,44300,4
210646,4200,5
210647,78720,5
210648,9200,5
210649,26000,4
210650,11000,2
210653,28420,2
210654,41400,2
210655,3100,2
210657,5240,2
210659,5500,3
210660,51000,6
210661,9000,3
210663,77140,2
210664,43844,3
210665,18000,2
210669,189640,1
210670,119480,3
210673,68400,3
210674,20400,2
210676,40000,3
210678,10800,3
210681,16320,2
210683,47366,3
210684,35740,3
210685,14172,3
210688,118200,3
210690,18240,3
210691,26436,2
210698,71400,3
210700,42000,2
210713,51200,3
210725,1300,3
210726,14400,3
210727,75700,3
210728,53600,7
210729,11400,1
210730,48491,5
210731,38100,4
210733,2100,2
210734,21800,2
210735,90100,5
210736,42400,4
210738,6040,2
210739,100100,6
210741,44200,5
210742,53720,3
210743,43200,4
210744,23600,2
210749,45940,6
210750,16840,6
210751,101800,7
210752,11000,3
210753,39000,5
210754,5650,5
210755,7470,4
210756,19340,2
210757,12130,3
210758,2800,3
